Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8,Pier 9,Pier 10
150 - 175 m,1.362677271021795e-12,1.275074066831028e-10,1.4069320091258942e-08,5.819618847948139e-07,1.0229165835716705e-05,6.551724130453651e-05,0.0001695591843198775,0.00017526717057379183,6.655401116119164e-05,1.5290450709362214e-05
175 - 200 m,2.66562189288333e-10,1.0966684897295575e-08,5.181093466701814e-07,1.0930816732606942e-05,0.0001148046412997407,0.0005252859050072221,0.0011459780362693905,0.0011803931589251869,0.000532858190299388,0.00015958538921828793
200 - 225 m,1.1479409396093488e-09,1.7853280968541886e-08,3.102182561576674e-07,2.951758799836277e-06,1.693365627190077e-05,5.2021340380541626e-05,9.28611326632132e-05,9.552169316921081e-05,5.277556512351503e-05,2.160289939835357e-05
225 - 250 m,6.446510365306413e-09,7.150061061250334e-08,8.775518467750805e-07,6.33172664663063e-06,2.9435036484500065e-05,7.873921027524877e-05,0.00013108234900691807,0.00013475884426515102,7.987737244578921e-05,3.6447958447281635e-05
250 - 275 m,4.0409353670023405e-10,2.8635851668761258e-09,2.2033124300318896e-08,1.1004341401538389e-07,3.841972371635614e-07,8.557467224965781e-07,1.2955427614160121e-06,1.3248756069217493e-06,8.657078925399945e-07,4.571753209569496e-07
275 - 300 m,6.950853398887125e-09,3.089381210513409e-08,1.474315830925177e-07,5.028713704889234e-07,1.3167434346438565e-06,2.4229072116931484e-06,3.3341479399990046e-06,3.411641720214669e-06,2.453049436711767e-06,1.5038207933938443e-06
300 - 325 m,1.341493618786771e-09,5.1369479196798906e-09,2.104441039864957e-08,6.354764392006551e-08,1.517740126405629e-07,2.6274886129126873e-07,3.5069826796750925e-07,3.588944137975262e-07,2.6607502198552093e-07,1.7107839309703232e-07
325 - 350 m,4.346244247153131e-09,1.3326475176283826e-08,4.307032639844399e-08,1.0824023125225568e-07,2.2281703033849219e-07,3.5229107620956725e-07,4.476082385651454e-07,4.5513861363546093e-07,3.5544509147826345e-07,2.3459605913716708e-07
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
