Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,6.9549722242708264e-06,0.000497566984150094,0.00053945974304209,6.936572072055655e-06
175 - 200 m,7.159507550589343e-05,0.002028520916196565,0.0021712254087692664,7.148748363104868e-05
200 - 225 m,5.396673521831424e-05,0.0008660786831820484,0.0009207915859157352,5.395325461002018e-05
225 - 250 m,0.00011273905150769894,0.0011044603186166875,0.001165089035718578,0.00011274157902797586
250 - 275 m,9.938487029665805e-05,0.0006828438319578197,0.0007168747432549819,9.944197449377667e-05
275 - 300 m,5.681007340975262e-05,0.00033953897590284325,0.00035641945067393834,5.689314938837754e-05
300 - 325 m,2.5229872401957348e-05,0.00012264385307568764,0.00012811132318333064,2.5255368307669676e-05
325 - 350 m,2.8133010743331157e-06,1.1089606775481834e-05,1.1545837324582175e-05,2.816689247937451e-06
350 - 375 m,1.595645369599901e-06,5.422773372980722e-06,5.6337892981002295e-06,1.5978933004401156e-06
375 - 400 m,1.6930883729192293e-07,4.980116914650239e-07,5.159057643031649e-07,1.6954325735488442e-07
Above 400 m,4.585817064685319e-06,4.585817064685319e-06,4.585817064685319e-06,4.585817064685319e-06
