Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8
150 - 175 m,4.309090581748445e-05,0.000281305996057454,0.00022018406509163237,3.215114584055217e-05,2.1847855978277702e-05,8.103113685645587e-05,2.926289135283707e-05,2.8544648233814095e-06
175 - 200 m,0.0005636172655455387,0.002649706974910016,0.002186748010889352,0.00045494297403931937,9.943528881906309e-05,0.0002939454765332248,0.0001303411086932953,1.9645632887933374e-05
200 - 225 m,5.7337137689515575e-05,0.0002124959645212316,0.0001834075578234127,5.0135846841165876e-05,5.777357955866575e-06,1.4443618270903094e-05,7.580104801288488e-06,1.602931795545033e-06
225 - 250 m,0.00027258854085855904,0.0008155651489505703,0.0007274889159708698,0.00024965077670528166,1.2718235092519705e-05,2.7421986476061195e-05,1.6378389549369383e-05,4.575660663573826e-06
250 - 275 m,0.00020947875273487338,0.0005067952387991628,0.00046448151792392644,0.0001972793604219038,6.62136586583415e-06,1.2326749103824656e-05,8.234755267217937e-06,2.9777448747254835e-06
275 - 300 m,1.102584323967013e-05,2.4985398693344752e-05,2.316995293853402e-05,1.0594744264646633e-05,1.411890066460586e-09,1.2316187607774866e-10,2.0556104818325595e-13,3.747991916824844e-15
300 - 325 m,8.648623111786767e-15,2.9013023501761496e-13,5.424285065396472e-11,3.523691257621672e-10,3.0236203130179887e-07,5.311556529125295e-07,3.8697570364751075e-07,1.621396721955628e-07
325 - 350 m,8.929129532470972e-07,1.6898920122325425e-06,1.603457822196975e-06,8.79547151822465e-07,1.3330893135337086e-09,2.3274487314428605e-10,2.2112977549060276e-12,1.1673093092134934e-13
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
