Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8,Pier 9,Pier 10,Pier 11,Pier 12,Pier 13,Pier 14,Pier 15
150 - 175 m,1.6874687009183366e-27,2.3502731474260347e-25,2.791444531859432e-23,3.387826869728043e-21,2.3183003537311664e-19,3.2737951464559104e-07,1.4437609750434253e-06,4.22925366685606e-06,1.137445908849175e-05,9.312561041671351e-05,3.0074619196046545e-05,1.4103002595566388e-06,3.651145816755008e-07,7.726265906727292e-08,9.866738120566154e-09
175 - 200 m,1.1176083751339047e-21,5.3697273826906366e-20,2.2845043089859278e-18,9.823647455492722e-17,2.69757422377534e-15,9.135370006362568e-06,2.923207228096691e-05,6.798068578830505e-05,0.00014784639062477703,0.0007794518179550257,0.00032111277894202766,2.8761274039551886e-05,9.948784000651356e-06,2.9405869787340924e-06,5.855555329771589e-07
200 - 225 m,2.3331941628688468e-18,4.658189049338564e-17,8.538355879490169e-16,1.552442310017634e-14,2.000181329934745e-13,4.652491954386821e-06,1.141044494968888e-05,2.196273524504212e-05,4.013735401975272e-05,0.0001493999493319354,7.523674530208275e-05,1.1329239039380798e-05,4.966199044224377e-06,1.932001124926691e-06,5.555224499660376e-07
225 - 250 m,2.428395091954043e-15,2.679639084284286e-14,2.7792467787924054e-13,2.828175895310829e-12,2.1873987454912484e-11,1.762279552145011e-05,3.612576960514186e-05,6.11767872598101e-05,9.937582475483039e-05,0.00029127116042542344,0.000167998413682207,3.6061896269188484e-05,1.8559978666927612e-05,8.694468076915603e-06,3.2033453661564943e-06
250 - 275 m,6.238526916894236e-13,4.311183361829335e-12,2.8512389891474482e-11,1.835963799486412e-10,9.495211555799474e-10,5.3828775873016456e-05,9.579845941936727e-05,0.0001466076046174912,0.00021696513960651242,0.0005255276512647182,0.0003373900714881034,9.599711819774406e-05,5.6096165675668076e-05,3.0432504787392962e-05,1.363445463326939e-05
275 - 300 m,4.7030149501359527e-11,2.294862808439698e-10,1.0863529101637148e-09,4.976456655317001e-09,1.9078020452816346e-08,0.0001502555337045027,0.00024071363876531702,0.00034167192835990207,0.00047180581763429425,0.0009919749839500387,0.0006896772647268164,0.00024191913099935012,0.00015535889116570728,9.40011003644462e-05,4.870903703827446e-05
300 - 325 m,2.2250533191321943e-10,9.110436335897642e-10,3.62979804475773e-09,1.4054831421902376e-08,4.644830932394028e-08,0.0001355817465630904,0.00020618868809643603,0.0002815149864041232,0.0003750699939369617,0.0007261497710245304,0.0005255687826612864,0.0002070628895001024,0.0001396736320902748,8.934876046548184e-05,4.978885877246927e-05
325 - 350 m,2.380094818418877e-09,7.858081659999539e-09,2.543822271404486e-08,7.985227660691161e-08,2.1939890773307742e-07,0.00018900824188166084,0.0002693918475741805,0.0003510066165003457,0.000447957461154925,0.000792552599822086,0.0006026206520944805,0.00027089068605754674,0.00019378083601930424,0.00013263597263959366,8.085764105787115e-05
350 - 375 m,7.750759332613747e-09,2.1541833080947466e-08,5.902454756316458e-08,1.5673729278147697e-07,3.7165273393180245e-07,0.00012065500156848304,0.00016330141592464664,0.00020493142549594988,0.0002526462609656841,0.0004151045357154991,0.0003283281299723814,0.00016432088614818334,0.00012323396377304433,8.904958985267883e-05,5.8325643410428677e-05
375 - 400 m,5.833176608751523e-10,1.378539271893204e-09,3.223442316996444e-09,7.322060729555871e-09,1.5127213881503137e-08,1.960805851521643e-06,2.5286504392172215e-06,3.0619330983805624e-06,3.6526830899442865e-06,5.5725774431389475e-06,4.574552673102627e-06,2.543869146358592e-06,1.995811766290878e-06,1.5181290196584138e-06,1.063605470998052e-06
Above 400 m,3.668643238265904e-11,8.438167391465969e-11,1.9395814327760338e-10,4.2552788579394053e-10,8.539882688161511e-10,9.438524324474768e-08,1.204635349621618e-07,1.4530964762884712e-07,1.7274998947709075e-07,2.6736115721249875e-07,2.2083725527948573e-07,1.2182840932183093e-07,9.594770316466784e-08,7.349822775794745e-08,5.215642455071468e-08
