Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8,Pier 9,Pier 10,Pier 11,Pier 12,Pier 13,Pier 14,Pier 15,Pier 16,Pier 17
150 - 175 m,2.0416431964464075e-09,1.8856080499808214e-08,2.926189287734725e-07,7.510320445471024e-07,1.2955164291475629e-05,0.00014767940908901484,7.731221549455767e-05,6.57872341236489e-05,1.6266020546793816e-05,5.164299679551799e-06,1.4293484670973467e-06,3.419554383371493e-07,6.975777630575664e-08,2.7022350621364045e-08,1.0968518563847508e-08,1.7516603445840892e-10,1.1747902158798225e-11
175 - 200 m,2.9132621733249187e-07,1.2848068867006906e-06,9.321574238450555e-06,1.5151651711078681e-05,0.00010485247031008999,0.0005325690665268589,0.0003355907415033616,0.00034641965234937845,0.0001187060739163036,5.510982839692146e-05,2.3367516230777908e-05,9.048283711858759e-06,3.112645672181614e-06,1.6341790147946012e-06,8.960338615736596e-07,5.6902952667511356e-08,9.342736066420636e-09
200 - 225 m,1.2248251824605083e-06,3.8991175692148e-06,2.042459149327605e-05,2.6899481598228563e-05,0.00012470928421471538,0.00044345033028276356,0.00030266315940736144,0.0003427602544329936,0.00013463912448872804,7.390342139945545e-05,3.782124227129796e-05,1.8117902920394458e-05,7.844565407597623e-06,4.705348933953537e-06,2.946071271324183e-06,3.440423027098897e-07,8.381358766779822e-08
225 - 250 m,1.4263182639849749e-06,4.2360966456123705e-06,2.064837034976861e-05,2.606660549179345e-05,0.00011088797109841308,0.00036546846772246463,0.00025387900396025545,0.0002925246799300697,0.00011858315926433532,6.745569858521227e-05,3.593260946467678e-05,1.8008682582888904e-05,8.189770271573471e-06,5.055050139094585e-06,3.255648792259674e-06,4.328013519511632e-07,1.1468574113801581e-07
250 - 275 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275 - 300 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300 - 325 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
