Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7
150 - 175 m,3.083937142395506e-05,3.1847892414983533e-05,3.992076719411778e-06,1.7963952298212368e-06,6.802317157311877e-07,2.494251061197523e-07,7.584228166013806e-08
175 - 200 m,0.0010703032292213508,0.0010972216461267996,0.00024354623705949012,0.00013759549326868004,6.837154113537142e-05,3.334975290851072e-05,1.4146482429475667e-05
200 - 225 m,0.0001469733580655353,0.00015056083434141903,3.583092783500631e-05,2.0834662897345683e-05,1.070735863805896e-05,5.414440577258463e-06,2.393351881233611e-06
225 - 250 m,0.00023008030534626744,0.00023502958506189307,7.641620680136985e-05,5.0674008531237826e-05,3.031983787012766e-05,1.8070565586329047e-05,9.620513713941926e-06
250 - 275 m,1.0907828547314444e-05,1.1112702081309811e-05,4.668478434625703e-06,3.4414534590048025e-06,2.3304677859767792e-06,1.5857371315087642e-06,9.822791671545857e-07
275 - 300 m,1.082654784664675e-06,1.1014558626534363e-06,5.280877964981308e-07,4.1109739842892616e-07,2.967197073928549e-07,2.1615760101115365e-07,1.4476566040473672e-07
300 - 325 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325 - 350 m,3.967382891737082e-07,4.0140405638277745e-07,2.308986848236034e-07,1.8974234816439363e-07,1.4788023430768549e-07,1.1543234516938883e-07,8.499501279359212e-08
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0
